Date,Platform,Type,Streams,Gross Revenue,Fees,Net Revenue,Currency
2024-04-30,spotify,mechanical,4665600,"24,883.20","2,407.45","21,150.72",USD
2024-04-30,spotify,performance,3110400,"1,866.24","1,604.97","1,586.30",USD
2024-04-30,apple_music,mechanical,2268000,"26,460.00","2,503.87","22,491.00",USD
2024-04-30,apple_music,performance,1512000,"1,360.80","1,669.25","1,156.68",USD
2024-04-30,youtube,mechanical,1814400,"4,536.00",449.06,"3,855.60",USD
2024-04-30,youtube,performance,1209600,453.60,299.38,385.56,USD
2024-04-30,tiktok,mechanical,3304800,"4,406.40",441.19,"3,745.44",USD
2024-04-30,tiktok,performance,2203200,495.72,294.13,421.36,USD
2024-04-30,amazon_music,mechanical,712800,"5,346.00",500.39,"4,544.10",USD
2024-04-30,amazon_music,performance,475200,213.84,333.59,181.76,USD
2024-04-30,deezer,mechanical,272160,"1,814.40",168.19,"1,542.24",USD
2024-04-30,deezer,performance,181440,54.43,112.13,46.27,USD
